epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,719.067,0.86349,0.64046,1.12199,0.88027,0.74591,0.78198,0.57284,1.22568,1.1034,1.41359,0.00079705,0.00079705,0.00079705
43,745.835,0.88323,0.63882,1.1307,0.84178,0.87787,0.88434,0.64914,1.08352,0.77472,1.27949,0.0007921,0.0007921,0.0007921
44,766.277,0.83547,0.6142,1.11179,0.86135,0.75983,0.79869,0.59618,1.14114,1.2074,1.38563,0.00078715,0.00078715,0.00078715
45,789.294,0.8482,0.61136,1.12844,0.95892,0.79275,0.8817,0.66817,0.98373,0.86719,1.24899,0.0007822,0.0007822,0.0007822
46,817.483,0.87805,0.59831,1.11607,0.9488,0.70044,0.79539,0.5958,1.12487,1.05698,1.38196,0.00077725,0.00077725,0.00077725
47,841.039,0.8885,0.62367,1.15078,0.90514,0.70317,0.80286,0.60461,1.10418,1.07585,1.38827,0.0007723,0.0007723,0.0007723
48,867.491,0.83832,0.61912,1.11907,0.90948,0.72385,0.82212,0.63517,1.02214,1.05435,1.29282,0.00076735,0.00076735,0.00076735
49,889.208,0.85261,0.59948,1.11781,0.92036,0.80047,0.87218,0.67168,1.02369,0.76968,1.29738,0.0007624,0.0007624,0.0007624
50,908.032,0.84407,0.58825,1.14609,0.86619,0.80306,0.82365,0.62286,1.0403,0.86124,1.3314,0.00075745,0.00075745,0.00075745
51,925.625,0.8278,0.58542,1.10812,0.83919,0.7166,0.7728,0.61764,1.10233,1.04879,1.39477,0.0007525,0.0007525,0.0007525
52,943.036,0.80573,0.5672,1.09739,0.92923,0.77067,0.83849,0.64109,0.9657,0.94834,1.25916,0.00074755,0.00074755,0.00074755
53,960.443,0.81655,0.5627,1.10494,0.96754,0.71261,0.81681,0.62433,1.02522,1.05612,1.30842,0.0007426,0.0007426,0.0007426
54,978.215,0.85122,0.69118,1.13524,0.90326,0.77469,0.85755,0.66352,0.99767,0.86651,1.28856,0.00073765,0.00073765,0.00073765
55,995.862,0.86025,0.58147,1.12113,0.81232,0.82251,0.84716,0.66071,0.9852,0.96196,1.30414,0.0007327,0.0007327,0.0007327
56,1013.91,0.81673,0.55896,1.10163,0.86314,0.79131,0.85365,0.66107,0.95495,0.89693,1.22943,0.00072775,0.00072775,0.00072775
57,1032.32,0.7849,0.54467,1.08536,0.93801,0.77597,0.83356,0.6616,0.97344,0.90011,1.31396,0.0007228,0.0007228,0.0007228
